;DBA;DBB;DBE;DBP;EXI;FILL;IAGG;IGF;ILTB;IMTB;ISTB;IXG;IXJ;IXN;IXP;JXI;KXI;MXI;REET;RXI
2020-01-02 10:00:00;-0.010414;0.028871;0.010633;-0.003647;0.004386;-0.015516;0.14375;-0.011566;-0.081132;0.006966;0.855215;0.062403;-0.045416;0.00124;0.057765;0.009717;0.001646;0.021839;0.00281;-0.039549
2020-02-03 10:00:00;0.004094;0.001259;0.001827;-0.015363;-0.026037;0.005031;0.174621;0.021034;-0.044465;-0.0145;0.835589;0.02727;-0.011157;-0.021828;0.024722;-0.013056;-0.026883;0.063535;0.01054;0.003766
2020-03-02 10:00:00;0.005609;0.002881;0.01212;-0.004221;-0.008074;-0.008607;0.205867;0.008143;-0.082986;-0.002671;0.825964;0.018099;-0.009822;-0.01206;0.006891;0.00066;0.005496;0.042634;-0.001235;-0.00469
2020-04-01 10:00:00;-0.025722;0.134976;0.002177;-0.018601;-0.041597;0.051082;0.608069;-0.095099;-0.092544;0.083481;0.333283;0.089345;-0.010897;0.040287;0.064847;-0.077601;0.112382;-0.035141;-0.00814;-0.114588
2020-05-01 10:00:00;0.042397;0.166745;0.004891;-0.024824;-0.069568;0.026318;0.573183;-0.031942;-0.097551;0.159789;0.220472;0.051558;0.038226;0.039194;0.007105;-0.047317;0.033109;-0.042995;0.014349;-0.063141
2020-06-01 10:00:00;0.027575;0.097344;0.00755;0.014299;-0.012156;0.002142;0.548158;-0.028851;-0.11225;0.301502;0.155188;0.017431;0.041023;-0.010413;0.033705;-0.020973;0.020787;0.005443;-0.00577;-0.081734
2020-07-01 10:00:00;0.016022;0.00925;0.016267;0.016942;-0.026539;0.000338;0.562201;0.052863;-0.095358;0.071872;0.416646;0.032916;-0.003311;-0.007165;0.010757;-0.026113;0.047863;-0.026223;-0.000305;-0.068924
2020-08-03 10:00:00;-0.004167;-0.013779;0.013066;-0.003591;-0.033396;0.000732;0.518622;-0.038851;-0.065967;0.077024;0.475814;0.065255;0.003235;0.03622;-0.005587;0.04012;-0.002476;-0.037357;-0.006796;-0.018123
2020-09-01 10:00:00;0.00538;-0.020803;-0.005947;-0.001729;-0.017461;0.003833;0.521779;-0.032946;-0.051425;0.026334;0.509593;0.039178;-0.015479;0.023148;0.001465;-0.005827;0.038388;-0.011652;0.013377;-0.019206
2020-10-01 10:00:00;0.007559;0.016467;0.002709;-0.002947;-0.003141;-0.002827;0.28321;-0.056866;-0.039092;0.094756;0.634608;0.035775;-0.018411;0.015932;-0.0165;0.015617;0.027269;0.011179;0.011765;-0.017061
2020-11-02 10:00:00;0.001158;0.018739;0.00029;-0.007918;-0.00491;0.01496;0.226281;-0.068394;-0.051375;0.181133;0.625665;-0.001182;0.000747;0.012923;-0.00826;0.023658;-0.007203;0.034468;0.017782;-0.008562
2020-12-01 10:00:00;0.016859;0.010583;0.002467;-0.009781;-0.015243;0.002338;0.155022;-0.047214;-0.007722;0.124145;0.715744;0.016928;-0.017751;0.01912;-0.008112;0.020429;-0.013729;0.056919;0.02078;-0.041781
